"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:14","00:00:02:01","00:00:00:11","00:00:01:14","00:00:02:01","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"2","","","","C","","00:00:03:00","00:00:03:05","00:00:00:05","00:00:03:00","00:00:03:05","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"3","","","","C","","00:00:03:14","00:00:03:18","00:00:00:04","00:00:03:14","00:00:03:18","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"4","","","","C","","00:00:03:22","00:00:03:23","00:00:00:01","00:00:03:22","00:00:03:23","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"5","","","","C","","00:00:04:02","00:00:04:20","00:00:00:18","00:00:04:02","00:00:04:20","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"6","","","","C","","00:00:05:06","00:00:05:12","00:00:00:06","00:00:05:06","00:00:05:12","","","","","","","0.000","","Blue","Απόλλωνας","",""
"7","","","","C","","00:00:08:00","00:00:09:00","00:00:01:00","00:00:08:00","00:00:09:00","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"8","","","","C","","00:00:09:20","00:00:10:00","00:00:00:04","00:00:09:20","00:00:10:00","","","","","","","0.000","","Blue","Απόλλωνας","",""
"9","","","","C","","00:00:10:04","00:00:10:12","00:00:00:08","00:00:10:04","00:00:10:12","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"10","","","","C","","00:00:11:06","00:00:12:01","00:00:00:19","00:00:11:06","00:00:12:01","","","","","","","0.000","","Blue","Απόλλωνας","",""
"11","","","","C","","00:00:15:14","00:00:15:22","00:00:00:08","00:00:15:14","00:00:15:22","","","","","","","0.000","","Blue","Απόλλωνας","",""
"12","","","","C","","00:00:17:08","00:00:17:14","00:00:00:06","00:00:17:08","00:00:17:14","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"13","","","","C","","00:00:17:20","00:00:18:07","00:00:00:11","00:00:17:20","00:00:18:07","","","","","","","0.000","","Blue","Απόλλωνας","",""
"14","","","","C","","00:00:18:22","00:00:23:06","00:00:04:08","00:00:18:22","00:00:23:06","","","","","","","0.000","","Blue","Απόλλωνας","",""
"15","","","","C","","00:00:23:11","00:00:31:06","00:00:07:19","00:00:23:11","00:00:31:06","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"16","","","","C","","00:00:34:06","00:00:35:02","00:00:00:20","00:00:34:06","00:00:35:02","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"17","","","","C","","00:00:36:05","00:00:39:07","00:00:03:02","00:00:36:05","00:00:39:07","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"18","","","","C","","00:00:40:00","00:00:40:08","00:00:00:08","00:00:40:00","00:00:40:08","","","","","","","0.000","","Blue","Απόλλωνας","",""
"19","","","","C","","00:00:40:10","00:00:41:05","00:00:00:19","00:00:40:10","00:00:41:05","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"20","","","","C","","00:00:41:18","00:00:42:03","00:00:00:09","00:00:41:18","00:00:42:03","","","","","","","0.000","","Blue","Απόλλωνας","",""
"21","","","","C","","00:00:43:09","00:00:44:04","00:00:00:19","00:00:43:09","00:00:44:04","","","","","","","0.000","","Blue","Απόλλωνας","",""
"22","","","","C","","00:00:44:22","00:00:46:06","00:00:01:08","00:00:44:22","00:00:46:06","","","","","","","0.000","","Blue","Απόλλωνας","",""
"23","","","","C","","00:00:47:03","00:00:47:10","00:00:00:07","00:00:47:03","00:00:47:10","","","","","","","0.000","","Blue","Δεξί χέρι Απόλλωνα","",""
"24","","","","C","","00:00:47:16","00:00:51:04","00:00:03:12","00:00:47:16","00:00:51:04","","","","","","","0.000","","Blue","Απόλλωνας","",""
"25","","","","C","","00:00:51:14","00:00:55:13","00:00:03:23","00:00:51:14","00:00:55:13","","","","","","","0.000","","Blue","Απόλλωνας","",""
"26","","","","C","","00:00:55:13","00:00:56:09","00:00:00:20","00:00:55:13","00:00:56:09","","","","","","","0.000","","Blue","Απόλλωνας-Κεφάλι Απόλλωνα","",""
"27","","","","C","","00:00:57:08","00:00:57:20","00:00:00:12","00:00:57:08","00:00:57:20","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"28","","","","C","","00:00:58:12","00:00:59:06","00:00:00:18","00:00:58:12","00:00:59:06","","","","","","","0.000","","Blue","Απόλλωνας","",""
"29","","","","C","","00:01:00:08","00:01:00:21","00:00:00:13","00:01:00:08","00:01:00:21","","","","","","","0.000","","Blue","Απόλλωνας","",""
"30","","","","C","","00:01:01:03","00:01:01:23","00:00:00:20","00:01:01:03","00:01:01:23","","","","","","","0.000","","Blue","Απόλλωνας","",""
"31","","","","C","","00:01:02:02","00:01:02:14","00:00:00:12","00:01:02:02","00:01:02:14","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"32","","","","C","","00:01:02:17","00:01:03:00","00:00:00:07","00:01:02:17","00:01:03:00","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"33","","","","C","","00:01:03:02","00:01:03:06","00:00:00:04","00:01:03:02","00:01:03:06","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"34","","","","C","","00:01:04:10","00:01:05:18","00:00:01:08","00:01:04:10","00:01:05:18","","","","","","","0.000","","Blue","Απόλλωνας","",""
"35","","","","C","","00:01:06:09","00:01:06:21","00:00:00:12","00:01:06:09","00:01:06:21","","","","","","","0.000","","Blue","Απόλλωνας","",""
"36","","","","C","","00:01:12:12","00:01:12:22","00:00:00:10","00:01:12:12","00:01:12:22","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"37","","","","C","","00:01:14:06","00:01:14:09","00:00:00:03","00:01:14:06","00:01:14:09","","","","","","","0.000","","Blue","Απόλλωνας","",""
"38","","","","C","","00:01:14:13","00:01:14:21","00:00:00:08","00:01:14:13","00:01:14:21","","","","","","","0.000","","Blue","Λαπίθες","",""
"39","","","","C","","00:01:15:23","00:01:19:19","00:00:03:20","00:01:15:23","00:01:19:19","","","","","","","0.000","","Blue","Λαπίθες","",""
"40","","","","C","","00:01:20:20","00:01:21:06","00:00:00:10","00:01:20:20","00:01:21:06","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"41","","","","C","","00:01:21:14","00:01:22:21","00:00:01:07","00:01:21:14","00:01:22:21","","","","","","","0.000","","Blue","Απόλλωνας","",""
"42","","","","C","","00:01:23:22","00:01:24:03","00:00:00:05","00:01:23:22","00:01:24:03","","","","","","","0.000","","Blue","Απόλλωνας","",""
