"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:11","00:00:01:19","00:00:00:08","00:00:01:11","00:00:01:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"2","","","","C","","00:00:03:00","00:00:03:13","00:00:00:13","00:00:03:00","00:00:03:13","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"3","","","","C","","00:00:04:23","00:00:08:05","00:00:03:06","00:00:04:23","00:00:08:05","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"4","","","","C","","00:00:08:14","00:00:08:20","00:00:00:06","00:00:08:14","00:00:08:20","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"5","","","","C","","00:00:08:23","00:00:09:22","00:00:00:23","00:00:08:23","00:00:09:22","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"6","","","","C","","00:00:10:09","00:00:11:04","00:00:00:19","00:00:10:09","00:00:11:04","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"7","","","","C","","00:00:11:09","00:00:11:19","00:00:00:10","00:00:11:09","00:00:11:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"8","","","","C","","00:00:11:19","00:00:12:13","00:00:00:18","00:00:11:19","00:00:12:13","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"9","","","","C","","00:00:13:05","00:00:14:05","00:00:01:00","00:00:13:05","00:00:14:05","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"10","","","","C","","00:00:14:11","00:00:14:12","00:00:00:01","00:00:14:11","00:00:14:12","","","","","","","0.000","","Blue","Απόλλωνας","",""
"11","","","","C","","00:00:15:05","00:00:15:21","00:00:00:16","00:00:15:05","00:00:15:21","","","","","","","0.000","","Blue","Απόλλωνας","",""
"12","","","","C","","00:00:16:15","00:00:16:21","00:00:00:06","00:00:16:15","00:00:16:21","","","","","","","0.000","","Blue","Απόλλωνας","",""
"13","","","","C","","00:00:19:06","00:00:20:02","00:00:00:20","00:00:19:06","00:00:20:02","","","","","","","0.000","","Blue","Απόλλωνας","",""
"14","","","","C","","00:00:21:03","00:00:21:10","00:00:00:07","00:00:21:03","00:00:21:10","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"15","","","","C","","00:00:22:09","00:00:22:10","00:00:00:01","00:00:22:09","00:00:22:10","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"16","","","","C","","00:00:22:17","00:00:22:20","00:00:00:03","00:00:22:17","00:00:22:20","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"17","","","","C","","00:00:24:05","00:00:24:08","00:00:00:03","00:00:24:05","00:00:24:08","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"18","","","","C","","00:00:25:20","00:00:27:11","00:00:01:15","00:00:25:20","00:00:27:11","","","","","","","0.000","","Blue","Απόλλωνας","",""
"19","","","","C","","00:00:27:17","00:00:28:14","00:00:00:21","00:00:27:17","00:00:28:14","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"20","","","","C","","00:00:30:02","00:00:30:19","00:00:00:17","00:00:30:02","00:00:30:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"21","","","","C","","00:00:31:06","00:00:32:21","00:00:01:15","00:00:31:06","00:00:32:21","","","","","","","0.000","","Blue","Απόλλωνας","",""
"22","","","","C","","00:00:34:16","00:00:38:02","00:00:03:10","00:00:34:16","00:00:38:02","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"23","","","","C","","00:00:40:15","00:00:41:10","00:00:00:19","00:00:40:15","00:00:41:10","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"24","","","","C","","00:00:42:15","00:00:44:19","00:00:02:04","00:00:42:15","00:00:44:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"25","","","","C","","00:00:46:03","00:00:46:23","00:00:00:20","00:00:46:03","00:00:46:23","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"26","","","","C","","00:00:47:03","00:00:47:18","00:00:00:15","00:00:47:03","00:00:47:18","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"27","","","","C","","00:00:49:07","00:00:49:17","00:00:00:10","00:00:49:07","00:00:49:17","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"28","","","","C","","00:00:49:19","00:00:50:07","00:00:00:12","00:00:49:19","00:00:50:07","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"29","","","","C","","00:00:52:22","00:00:53:05","00:00:00:07","00:00:52:22","00:00:53:05","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"30","","","","C","","00:00:55:17","00:00:56:05","00:00:00:12","00:00:55:17","00:00:56:05","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"31","","","","C","","00:00:56:21","00:00:59:03","00:00:02:06","00:00:56:21","00:00:59:03","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"32","","","","C","","00:00:59:08","00:01:00:21","00:00:01:13","00:00:59:08","00:01:00:21","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"33","","","","C","","00:01:03:14","00:01:04:14","00:00:01:00","00:01:03:14","00:01:04:14","","","","","","","0.000","","Blue","Απόλλωνας","",""
"34","","","","C","","00:01:05:12","00:01:06:02","00:00:00:14","00:01:05:12","00:01:06:02","","","","","","","0.000","","Blue","Marker 34","",""
"35","","","","C","","00:01:06:08","00:01:07:10","00:00:01:02","00:01:06:08","00:01:07:10","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"36","","","","C","","00:01:10:09","00:01:10:18","00:00:00:09","00:01:10:09","00:01:10:18","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"37","","","","C","","00:01:11:12","00:01:12:02","00:00:00:14","00:01:11:12","00:01:12:02","","","","","","","0.000","","Blue","Απόλλωνας","",""
"38","","","","C","","00:01:12:01","00:01:12:09","00:00:00:08","00:01:12:01","00:01:12:09","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"39","","","","C","","00:01:13:01","00:01:13:21","00:00:00:20","00:01:13:01","00:01:13:21","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
