"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:01:02","00:00:01:02","00:00:00:00","00:00:01:02","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"2","","","","C","","00:00:03:21","00:00:04:19","00:00:00:22","00:00:03:21","00:00:04:19","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"3","","","","C","","00:00:05:19","00:00:06:00","00:00:00:05","00:00:05:19","00:00:06:00","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"4","","","","C","","00:00:07:01","00:00:10:11","00:00:03:10","00:00:07:01","00:00:10:11","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"5","","","","C","","00:00:12:14","00:00:15:08","00:00:02:18","00:00:12:14","00:00:15:08","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"6","","","","C","","00:00:18:16","00:00:19:13","00:00:00:21","00:00:18:16","00:00:19:13","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"7","","","","C","","00:00:21:07","00:00:23:09","00:00:02:02","00:00:21:07","00:00:23:09","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"8","","","","C","","00:00:23:19","00:00:24:17","00:00:00:22","00:00:23:19","00:00:24:17","","","","","","","0.000","","Blue","Θησέας","",""
"9","","","","C","","00:00:25:12","00:00:26:20","00:00:01:08","00:00:25:12","00:00:26:20","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"10","","","","C","","00:00:27:14","00:00:33:05","00:00:05:15","00:00:27:14","00:00:33:05","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"11","","","","C","","00:00:33:23","00:00:34:01","00:00:00:02","00:00:33:23","00:00:34:01","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"12","","","","C","","00:00:34:02","00:00:34:04","00:00:00:02","00:00:34:02","00:00:34:04","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"13","","","","C","","00:00:36:08","00:00:38:13","00:00:02:05","00:00:36:08","00:00:38:13","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"14","","","","C","","00:00:38:18","00:00:39:03","00:00:00:09","00:00:38:18","00:00:39:03","","","","","","","0.000","","Blue","Θησέας","",""
"15","","","","C","","00:00:39:12","00:00:42:10","00:00:02:22","00:00:39:12","00:00:42:10","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"16","","","","C","","00:00:43:08","00:00:43:13","00:00:00:05","00:00:43:08","00:00:43:13","","","","","","","0.000","","Blue","Θησέας","",""
"17","","","","C","","00:00:44:02","00:00:48:14","00:00:04:12","00:00:44:02","00:00:48:14","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"18","","","","C","","00:00:48:19","00:00:49:07","00:00:00:12","00:00:48:19","00:00:49:07","","","","","","","0.000","","Blue","Θησέας","",""
"19","","","","C","","00:00:49:10","00:00:50:19","00:00:01:09","00:00:49:10","00:00:50:19","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"20","","","","C","","00:00:51:17","00:00:53:20","00:00:02:03","00:00:51:17","00:00:53:20","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"21","","","","C","","00:00:56:10","00:00:58:14","00:00:02:04","00:00:56:10","00:00:58:14","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"22","","","","C","","00:00:59:03","00:00:59:07","00:00:00:04","00:00:59:03","00:00:59:07","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Τόξο","",""
"23","","","","C","","00:01:03:12","00:01:03:20","00:00:00:08","00:01:03:12","00:01:03:20","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"24","","","","C","","00:01:04:05","00:01:05:01","00:00:00:20","00:01:04:05","00:01:05:01","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Τόξο","",""
"25","","","","C","","00:01:05:12","00:01:05:17","00:00:00:05","00:01:05:12","00:01:05:17","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"26","","","","C","","00:01:06:03","00:01:07:15","00:00:01:12","00:01:06:03","00:01:07:15","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Τόξο","",""
"27","","","","C","","00:01:09:19","00:01:10:00","00:00:00:05","00:01:09:19","00:01:10:00","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"28","","","","C","","00:01:10:03","00:01:10:12","00:00:00:09","00:01:10:03","00:01:10:12","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"29","","","","C","","00:01:11:09","00:01:12:09","00:00:01:00","00:01:11:09","00:01:12:09","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"30","","","","C","","00:01:12:14","00:01:12:22","00:00:00:08","00:01:12:14","00:01:12:22","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"31","","","","C","","00:01:13:10","00:01:19:06","00:00:05:20","00:01:13:10","00:01:19:06","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Τόξο","",""
"32","","","","C","","00:01:19:05","00:01:20:05","00:00:01:00","00:01:19:05","00:01:20:05","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"33","","","","C","","00:01:25:02","00:01:27:02","00:00:02:00","00:01:25:02","00:01:27:02","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"34","","","","C","","00:01:29:12","00:01:30:22","00:00:01:10","00:01:29:12","00:01:30:22","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"35","","","","C","","00:01:32:02","00:01:33:22","00:00:01:20","00:01:32:02","00:01:33:22","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"36","","","","C","","00:01:34:20","00:01:35:18","00:00:00:22","00:01:34:20","00:01:35:18","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"37","","","","C","","00:01:37:08","00:01:39:18","00:00:02:10","00:01:37:08","00:01:39:18","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"38","","","","C","","00:01:40:15","00:01:40:20","00:00:00:05","00:01:40:15","00:01:40:20","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"39","","","","C","","00:01:46:00","00:01:46:04","00:00:00:04","00:01:46:00","00:01:46:04","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"40","","","","C","","00:01:46:07","00:01:47:18","00:00:01:11","00:01:46:07","00:01:47:18","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"41","","","","C","","00:01:48:04","00:01:49:15","00:00:01:11","00:01:48:04","00:01:49:15","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"42","","","","C","","00:01:50:09","00:01:55:10","00:00:05:01","00:01:50:09","00:01:55:10","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"43","","","","C","","00:01:56:17","00:01:57:04","00:00:00:11","00:01:56:17","00:01:57:04","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
