"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:16","00:00:01:14","00:00:00:22","00:00:00:16","00:00:01:14","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"2","","","","C","","00:00:03:05","00:00:03:06","00:00:00:01","00:00:03:05","00:00:03:06","","","","","","","0.000","","Blue","Λαπίθες","",""
"3","","","","C","","00:00:12:22","00:00:13:03","00:00:00:05","00:00:12:22","00:00:13:03","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"4","","","","C","","00:00:13:14","00:00:16:06","00:00:02:16","00:00:13:14","00:00:16:06","","","","","","","0.000","","Blue","Λαπίθες","",""
"5","","","","C","","00:00:17:09","00:00:17:17","00:00:00:08","00:00:17:09","00:00:17:17","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"6","","","","C","","00:00:17:20","00:00:34:08","00:00:16:12","00:00:17:20","00:00:34:08","","","","","","","0.000","","Blue","Λαπίθες","",""
"7","","","","C","","00:00:35:08","00:00:35:20","00:00:00:12","00:00:35:08","00:00:35:20","","","","","","","0.000","","Blue","Λαπίθες","",""
"8","","","","C","","00:00:37:02","00:00:37:20","00:00:00:18","00:00:37:02","00:00:37:20","","","","","","","0.000","","Blue","Λαπίθες","",""
"9","","","","C","","00:00:38:00","00:00:38:10","00:00:00:10","00:00:38:00","00:00:38:10","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"10","","","","C","","00:00:38:12","00:00:39:00","00:00:00:12","00:00:38:12","00:00:39:00","","","","","","","0.000","","Blue","Δεξιά άνδρας-Βασιλιάς Λαπιθών","",""
"11","","","","C","","00:00:39:18","00:00:40:06","00:00:00:12","00:00:39:18","00:00:40:06","","","","","","","0.000","","Blue","Λαπίθες","",""
"12","","","","C","","00:00:40:08","00:00:41:06","00:00:00:22","00:00:40:08","00:00:41:06","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"13","","","","C","","00:00:43:16","00:00:43:21","00:00:00:05","00:00:43:16","00:00:43:21","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"14","","","","C","","00:00:52:02","00:00:52:07","00:00:00:05","00:00:52:02","00:00:52:07","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"15","","","","C","","00:00:57:05","00:00:57:14","00:00:00:09","00:00:57:05","00:00:57:14","","","","","","","0.000","","Blue","Λαπίθες","",""
"16","","","","C","","00:00:58:23","00:00:59:14","00:00:00:15","00:00:58:23","00:00:59:14","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"17","","","","C","","00:00:59:17","00:01:00:02","00:00:00:09","00:00:59:17","00:01:00:02","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"18","","","","C","","00:01:01:09","00:01:01:23","00:00:00:14","00:01:01:09","00:01:01:23","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"19","","","","C","","00:01:02:23","00:01:03:06","00:00:00:07","00:01:02:23","00:01:03:06","","","","","","","0.000","","Blue","Απόλλωνας","",""
"20","","","","C","","00:01:04:04","00:01:06:10","00:00:02:06","00:01:04:04","00:01:06:10","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"21","","","","C","","00:01:06:22","00:01:07:23","00:00:01:01","00:01:06:22","00:01:07:23","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"22","","","","C","","00:01:08:15","00:01:09:13","00:00:00:22","00:01:08:15","00:01:09:13","","","","","","","0.000","","Blue","Απόλλωνας","",""
"23","","","","C","","00:01:11:12","00:01:11:13","00:00:00:01","00:01:11:12","00:01:11:13","","","","","","","0.000","","Blue","Λαπίθες","",""
