"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:02:11","00:00:02:11","00:00:00:00","00:00:02:11","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"2","","","","C","","00:00:04:18","00:00:05:03","00:00:00:09","00:00:04:18","00:00:05:03","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"3","","","","C","","00:00:06:00","00:00:08:21","00:00:02:21","00:00:06:00","00:00:08:21","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"4","","","","C","","00:00:11:04","00:00:15:02","00:00:03:22","00:00:11:04","00:00:15:02","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"5","","","","C","","00:00:15:02","00:00:16:15","00:00:01:13","00:00:15:02","00:00:16:15","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"6","","","","C","","00:00:16:14","00:00:24:04","00:00:07:14","00:00:16:14","00:00:24:04","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"7","","","","C","","00:00:24:04","00:00:25:07","00:00:01:03","00:00:24:04","00:00:25:07","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"8","","","","C","","00:00:25:06","00:00:26:14","00:00:01:08","00:00:25:06","00:00:26:14","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"9","","","","C","","00:00:28:04","00:00:29:09","00:00:01:05","00:00:28:04","00:00:29:09","","","","","","","0.000","","Blue","Θησέας","",""
"10","","","","C","","00:00:29:23","00:00:34:04","00:00:04:05","00:00:29:23","00:00:34:04","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"11","","","","C","","00:00:35:03","00:00:35:21","00:00:00:18","00:00:35:03","00:00:35:21","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"12","","","","C","","00:00:37:05","00:00:38:03","00:00:00:22","00:00:37:05","00:00:38:03","","","","","","","0.000","","Blue","Θησέας","",""
"13","","","","C","","00:00:38:11","00:00:38:21","00:00:00:10","00:00:38:11","00:00:38:21","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"14","","","","C","","00:00:38:23","00:00:40:00","00:00:01:01","00:00:38:23","00:00:40:00","","","","","","","0.000","","Blue","Θησέας","",""
"15","","","","C","","00:00:40:06","00:00:40:11","00:00:00:05","00:00:40:06","00:00:40:11","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"16","","","","C","","00:00:40:15","00:00:41:02","00:00:00:11","00:00:40:15","00:00:41:02","","","","","","","0.000","","Blue","Θησέας","",""
"17","","","","C","","00:00:43:09","00:00:45:12","00:00:02:03","00:00:43:09","00:00:45:12","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"18","","","","C","","00:00:47:00","00:00:48:03","00:00:01:03","00:00:47:00","00:00:48:03","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"19","","","","C","","00:00:50:02","00:00:53:21","00:00:03:19","00:00:50:02","00:00:53:21","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"20","","","","C","","00:00:56:18","00:00:58:09","00:00:01:15","00:00:56:18","00:00:58:09","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Τόξο","",""
"21","","","","C","","00:01:00:21","00:01:02:04","00:00:01:07","00:01:00:21","00:01:02:04","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"22","","","","C","","00:01:07:15","00:01:08:09","00:00:00:18","00:01:07:15","00:01:08:09","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"23","","","","C","","00:01:10:01","00:01:11:15","00:00:01:14","00:01:10:01","00:01:11:15","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"24","","","","C","","00:01:13:17","00:01:17:04","00:00:03:11","00:01:13:17","00:01:17:04","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"25","","","","C","","00:01:17:08","00:01:20:03","00:00:02:19","00:01:17:08","00:01:20:03","","","","","","","0.000","","Blue","Θησέας","",""
"26","","","","C","","00:01:20:18","00:01:23:18","00:00:03:00","00:01:20:18","00:01:23:18","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"27","","","","C","","00:01:27:01","00:01:31:19","00:00:04:18","00:01:27:01","00:01:31:19","","","","","","","0.000","","Blue","Θησέας","",""
"28","","","","C","","00:01:34:20","00:01:40:01","00:00:05:05","00:01:34:20","00:01:40:01","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"29","","","","C","","00:01:45:20","00:01:49:11","00:00:03:15","00:01:45:20","00:01:49:11","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"30","","","","C","","00:01:54:09","00:01:54:18","00:00:00:09","00:01:54:09","00:01:54:18","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"31","","","","C","","00:01:55:01","00:01:56:06","00:00:01:05","00:01:55:01","00:01:56:06","","","","","","","0.000","","Blue","Δηιδάμεια","",""
