"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:00:17","00:00:00:17","00:00:00:00","00:00:00:17","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"2","","","","C","","00:00:12:00","00:00:15:10","00:00:03:10","00:00:12:00","00:00:15:10","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"3","","","","C","","00:00:16:16","00:00:17:08","00:00:00:10","00:00:16:16","00:00:17:08","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"4","","","","C","","00:00:19:02","00:00:20:12","00:00:01:10","00:00:19:02","00:00:20:12","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"5","","","","C","","00:00:22:06","00:00:22:16","00:00:00:10","00:00:22:06","00:00:22:16","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"6","","","","C","","00:00:24:03","00:00:24:04","00:00:00:01","00:00:24:03","00:00:24:04","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"7","","","","C","","00:00:25:07","00:00:26:06","00:00:00:17","00:00:25:07","00:00:26:06","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"8","","","","C","","00:00:34:16","00:00:36:08","00:00:01:10","00:00:34:16","00:00:36:08","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"9","","","","C","","00:00:56:09","00:00:56:16","00:00:00:07","00:00:56:09","00:00:56:16","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"10","","","","C","","00:00:57:15","00:00:58:15","00:00:01:00","00:00:57:15","00:00:58:15","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"11","","","","C","","00:00:59:12","00:01:00:04","00:00:00:10","00:00:59:12","00:01:00:04","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"12","","","","C","","00:01:00:15","00:01:01:09","00:00:00:12","00:01:00:15","00:01:01:09","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"13","","","","C","","00:01:02:13","00:01:03:01","00:00:00:06","00:01:02:13","00:01:03:01","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"14","","","","C","","00:01:03:06","00:01:03:12","00:00:00:06","00:01:03:06","00:01:03:12","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"15","","","","C","","00:01:04:09","00:01:04:17","00:00:00:08","00:01:04:09","00:01:04:17","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"16","","","","C","","00:01:05:10","00:01:05:15","00:00:00:05","00:01:05:10","00:01:05:15","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"17","","","","C","","00:01:05:17","00:01:07:00","00:00:01:01","00:01:05:17","00:01:07:00","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"18","","","","C","","00:01:07:02","00:01:07:15","00:00:00:13","00:01:07:02","00:01:07:15","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"19","","","","C","","00:01:07:16","00:01:08:10","00:00:00:12","00:01:07:16","00:01:08:10","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"20","","","","C","","00:01:08:14","00:01:10:05","00:00:01:09","00:01:08:14","00:01:10:05","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"21","","","","C","","00:01:10:13","00:01:10:14","00:00:00:01","00:01:10:13","00:01:10:14","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"22","","","","C","","00:01:12:01","00:01:12:08","00:00:00:07","00:01:12:01","00:01:12:08","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"23","","","","C","","00:01:13:03","00:01:13:12","00:00:00:09","00:01:13:03","00:01:13:12","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"24","","","","C","","00:01:13:16","00:01:14:07","00:00:00:09","00:01:13:16","00:01:14:07","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"25","","","","C","","00:01:18:17","00:01:19:17","00:00:01:00","00:01:18:17","00:01:19:17","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"26","","","","C","","00:01:21:01","00:01:22:09","00:00:01:08","00:01:21:01","00:01:22:09","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"27","","","","C","","00:01:23:02","00:01:23:04","00:00:00:02","00:01:23:02","00:01:23:04","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"28","","","","C","","00:01:23:03","00:01:23:12","00:00:00:09","00:01:23:03","00:01:23:12","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"29","","","","C","","00:01:27:01","00:01:27:08","00:00:00:07","00:01:27:01","00:01:27:08","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"30","","","","C","","00:01:27:13","00:01:28:06","00:00:00:11","00:01:27:13","00:01:28:06","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"31","","","","C","","00:01:29:08","00:01:31:03","00:00:01:13","00:01:29:08","00:01:31:03","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"32","","","","C","","00:01:34:14","00:01:35:09","00:00:00:13","00:01:34:14","00:01:35:09","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"33","","","","C","","00:01:44:05","00:01:44:17","00:00:00:12","00:01:44:05","00:01:44:17","","","","","","","0.000","","Blue","Λαπιθίδες","",""
