"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:00","00:00:01:04","00:00:01:04","00:00:00:00","00:00:01:04","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"2","","","","C","","00:00:01:15","00:00:02:09","00:00:00:18","00:00:01:15","00:00:02:09","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"3","","","","C","","00:00:03:06","00:00:08:07","00:00:05:01","00:00:03:06","00:00:08:07","","","","","","","0.000","","Blue","Απόλλωνας","",""
"4","","","","C","","00:00:08:16","00:00:09:04","00:00:00:12","00:00:08:16","00:00:09:04","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"5","","","","C","","00:00:09:06","00:00:09:08","00:00:00:02","00:00:09:06","00:00:09:08","","","","","","","0.000","","Blue","Απόλλωνας","",""
"6","","","","C","","00:00:10:08","00:00:10:16","00:00:00:08","00:00:10:08","00:00:10:16","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"7","","","","C","","00:00:11:21","00:00:12:07","00:00:00:10","00:00:11:21","00:00:12:07","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"8","","","","C","","00:00:13:04","00:00:15:02","00:00:01:22","00:00:13:04","00:00:15:02","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"9","","","","C","","00:00:19:07","00:00:19:22","00:00:00:15","00:00:19:07","00:00:19:22","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"10","","","","C","","00:00:20:01","00:00:20:03","00:00:00:02","00:00:20:01","00:00:20:03","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"11","","","","C","","00:00:20:03","00:00:20:22","00:00:00:19","00:00:20:03","00:00:20:22","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"12","","","","C","","00:00:22:22","00:00:23:19","00:00:00:21","00:00:22:22","00:00:23:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"13","","","","C","","00:00:24:07","00:00:26:15","00:00:02:08","00:00:24:07","00:00:26:15","","","","","","","0.000","","Blue","Απόλλωνας","",""
"14","","","","C","","00:00:30:13","00:00:31:02","00:00:00:13","00:00:30:13","00:00:31:02","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"15","","","","C","","00:00:31:20","00:00:32:02","00:00:00:06","00:00:31:20","00:00:32:02","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"16","","","","C","","00:00:32:02","00:00:32:17","00:00:00:15","00:00:32:02","00:00:32:17","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"17","","","","C","","00:00:33:00","00:00:33:01","00:00:00:01","00:00:33:00","00:00:33:01","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"18","","","","C","","00:00:35:07","00:00:36:01","00:00:00:18","00:00:35:07","00:00:36:01","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"19","","","","C","","00:00:37:16","00:00:37:17","00:00:00:01","00:00:37:16","00:00:37:17","","","","","","","0.000","","Blue","Αριστερή γυναίκα","",""
"20","","","","C","","00:00:39:04","00:00:39:17","00:00:00:13","00:00:39:04","00:00:39:17","","","","","","","0.000","","Blue","Απόλλωνας","",""
"21","","","","C","","00:00:40:09","00:00:40:18","00:00:00:09","00:00:40:09","00:00:40:18","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"22","","","","C","","00:00:43:19","00:00:44:07","00:00:00:12","00:00:43:19","00:00:44:07","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"23","","","","C","","00:00:44:21","00:00:44:22","00:00:00:01","00:00:44:21","00:00:44:22","","","","","","","0.000","","Blue","Απόλλωνας","",""
"24","","","","C","","00:00:45:20","00:00:46:08","00:00:00:12","00:00:45:20","00:00:46:08","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"25","","","","C","","00:00:46:12","00:00:47:00","00:00:00:12","00:00:46:12","00:00:47:00","","","","","","","0.000","","Blue","Απόλλωνας","",""
"26","","","","C","","00:00:47:08","00:00:48:19","00:00:01:11","00:00:47:08","00:00:48:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"27","","","","C","","00:00:49:20","00:00:52:14","00:00:02:18","00:00:49:20","00:00:52:14","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"28","","","","C","","00:00:58:06","00:00:58:09","00:00:00:03","00:00:58:06","00:00:58:09","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"29","","","","C","","00:01:04:04","00:01:04:05","00:00:00:01","00:01:04:04","00:01:04:05","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"30","","","","C","","00:01:09:03","00:01:10:11","00:00:01:08","00:01:09:03","00:01:10:11","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
