"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:13","00:00:02:02","00:00:00:13","00:00:01:13","00:00:02:02","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"2","","","","C","","00:00:02:19","00:00:04:15","00:00:01:20","00:00:02:19","00:00:04:15","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"3","","","","C","","00:00:06:15","00:00:08:08","00:00:01:17","00:00:06:15","00:00:08:08","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"4","","","","C","","00:00:09:13","00:00:10:23","00:00:01:10","00:00:09:13","00:00:10:23","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"5","","","","C","","00:00:12:06","00:00:12:10","00:00:00:04","00:00:12:06","00:00:12:10","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"6","","","","C","","00:00:13:19","00:00:14:14","00:00:00:19","00:00:13:19","00:00:14:14","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"7","","","","C","","00:00:16:09","00:00:17:15","00:00:01:06","00:00:16:09","00:00:17:15","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"8","","","","C","","00:00:20:16","00:00:21:05","00:00:00:13","00:00:20:16","00:00:21:05","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"9","","","","C","","00:00:23:12","00:00:28:15","00:00:05:03","00:00:23:12","00:00:28:15","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"10","","","","C","","00:00:31:17","00:00:33:08","00:00:01:15","00:00:31:17","00:00:33:08","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"11","","","","C","","00:00:35:02","00:00:35:07","00:00:00:05","00:00:35:02","00:00:35:07","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"12","","","","C","","00:00:38:02","00:00:41:20","00:00:03:18","00:00:38:02","00:00:41:20","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"13","","","","C","","00:00:42:02","00:00:43:15","00:00:01:13","00:00:42:02","00:00:43:15","","","","","","","0.000","","Blue","Θησέας","",""
