"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:13:06","00:00:13:19","00:00:00:13","00:00:13:06","00:00:13:19","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"2","","","","C","","00:00:20:16","00:00:21:12","00:00:00:20","00:00:20:16","00:00:21:12","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"3","","","","C","","00:00:27:12","00:00:27:13","00:00:00:01","00:00:27:12","00:00:27:13","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"4","","","","C","","00:00:37:01","00:00:37:23","00:00:00:22","00:00:37:01","00:00:37:23","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"5","","","","C","","00:00:55:23","00:00:57:08","00:00:01:09","00:00:55:23","00:00:57:08","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"6","","","","C","","00:00:59:19","00:01:02:12","00:00:02:17","00:00:59:19","00:01:02:12","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"7","","","","C","","00:01:10:19","00:01:11:14","00:00:00:19","00:01:10:19","00:01:11:14","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"8","","","","C","","00:01:14:08","00:01:15:04","00:00:00:20","00:01:14:08","00:01:15:04","","","","","","","0.000","","Blue","Δεξιά-Πέριθους","",""
"9","","","","C","","00:01:37:09","00:01:38:03","00:00:00:18","00:01:37:09","00:01:38:03","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"10","","","","C","","00:01:40:03","00:01:43:02","00:00:02:23","00:01:40:03","00:01:43:02","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"11","","","","C","","00:01:45:11","00:01:46:01","00:00:00:14","00:01:45:11","00:01:46:01","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"12","","","","C","","00:01:48:21","00:01:49:08","00:00:00:11","00:01:48:21","00:01:49:08","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"13","","","","C","","00:01:54:11","00:01:54:20","00:00:00:09","00:01:54:11","00:01:54:20","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"14","","","","C","","00:01:55:21","00:01:56:17","00:00:00:20","00:01:55:21","00:01:56:17","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"15","","","","C","","00:01:58:22","00:01:59:17","00:00:00:19","00:01:58:22","00:01:59:17","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"16","","","","C","","00:02:01:13","00:02:02:03","00:00:00:14","00:02:01:13","00:02:02:03","","","","","","","0.000","","Blue","Λαπιθίδες","",""
