"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:14","00:00:01:01","00:00:00:11","00:00:00:14","00:00:01:01","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"2","","","","C","","00:00:01:03","00:00:01:04","00:00:00:01","00:00:01:03","00:00:01:04","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"3","","","","C","","00:00:01:06","00:00:01:16","00:00:00:10","00:00:01:06","00:00:01:16","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"4","","","","C","","00:00:02:04","00:00:03:02","00:00:00:22","00:00:02:04","00:00:03:02","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"5","","","","C","","00:00:03:05","00:00:03:18","00:00:00:13","00:00:03:05","00:00:03:18","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"6","","","","C","","00:00:03:22","00:00:05:10","00:00:01:12","00:00:03:22","00:00:05:10","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"7","","","","C","","00:00:05:20","00:00:05:21","00:00:00:01","00:00:05:20","00:00:05:21","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"8","","","","C","","00:00:06:03","00:00:07:01","00:00:00:22","00:00:06:03","00:00:07:01","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"9","","","","C","","00:00:07:15","00:00:07:20","00:00:00:05","00:00:07:15","00:00:07:20","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"10","","","","C","","00:00:09:08","00:00:10:01","00:00:00:17","00:00:09:08","00:00:10:01","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"11","","","","C","","00:00:10:04","00:00:10:16","00:00:00:12","00:00:10:04","00:00:10:16","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"12","","","","C","","00:00:10:18","00:00:11:02","00:00:00:08","00:00:10:18","00:00:11:02","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"13","","","","C","","00:00:11:11","00:00:12:01","00:00:00:14","00:00:11:11","00:00:12:01","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"14","","","","C","","00:00:13:06","00:00:13:07","00:00:00:01","00:00:13:06","00:00:13:07","","","","","","","0.000","","Blue","Αριστερή γυναίκα","",""
"15","","","","C","","00:00:17:22","00:00:18:17","00:00:00:19","00:00:17:22","00:00:18:17","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"16","","","","C","","00:00:18:20","00:00:19:00","00:00:00:04","00:00:18:20","00:00:19:00","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"17","","","","C","","00:00:22:00","00:00:22:09","00:00:00:09","00:00:22:00","00:00:22:09","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"18","","","","C","","00:00:22:10","00:00:22:12","00:00:00:02","00:00:22:10","00:00:22:12","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"19","","","","C","","00:00:22:14","00:00:23:13","00:00:00:23","00:00:22:14","00:00:23:13","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"20","","","","C","","00:00:23:21","00:00:24:06","00:00:00:09","00:00:23:21","00:00:24:06","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"21","","","","C","","00:00:24:16","00:00:25:01","00:00:00:09","00:00:24:16","00:00:25:01","","","","","","","0.000","","Blue","Λαπίθες","",""
"22","","","","C","","00:00:25:10","00:00:27:05","00:00:01:19","00:00:25:10","00:00:27:05","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"23","","","","C","","00:00:27:09","00:00:27:15","00:00:00:06","00:00:27:09","00:00:27:15","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"24","","","","C","","00:00:28:07","00:00:29:15","00:00:01:08","00:00:28:07","00:00:29:15","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και πάνω-Δεξής Κένταυρος","",""
"25","","","","C","","00:00:29:17","00:00:30:01","00:00:00:08","00:00:29:17","00:00:30:01","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"26","","","","C","","00:00:30:03","00:00:31:00","00:00:00:21","00:00:30:03","00:00:31:00","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"27","","","","C","","00:00:32:18","00:00:33:19","00:00:01:01","00:00:32:18","00:00:33:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"28","","","","C","","00:00:34:17","00:00:34:22","00:00:00:05","00:00:34:17","00:00:34:22","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"29","","","","C","","00:00:36:19","00:00:37:07","00:00:00:12","00:00:36:19","00:00:37:07","","","","","","","0.000","","Blue","Απόλλωνας","",""
"30","","","","C","","00:00:43:20","00:00:44:04","00:00:00:08","00:00:43:20","00:00:44:04","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"31","","","","C","","00:00:44:22","00:00:45:12","00:00:00:14","00:00:44:22","00:00:45:12","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"32","","","","C","","00:00:47:22","00:00:48:20","00:00:00:22","00:00:47:22","00:00:48:20","","","","","","","0.000","","Blue","Απόλλωνας","",""
"33","","","","C","","00:00:49:01","00:00:49:19","00:00:00:18","00:00:49:01","00:00:49:19","","","","","","","0.000","","Blue","Απόλλωνας-Κεφάλι Απόλλωνα","",""
"34","","","","C","","00:00:50:23","00:00:51:20","00:00:00:21","00:00:50:23","00:00:51:20","","","","","","","0.000","","Blue","Απόλλωνας","",""
"35","","","","C","","00:00:51:20","00:00:52:07","00:00:00:11","00:00:51:20","00:00:52:07","","","","","","","0.000","","Blue","Απόλλωνας-Δεξί χέρι Απόλλωνα","",""
"36","","","","C","","00:00:52:09","00:00:52:15","00:00:00:06","00:00:52:09","00:00:52:15","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"37","","","","C","","00:00:52:19","00:00:55:16","00:00:02:21","00:00:52:19","00:00:55:16","","","","","","","0.000","","Blue","Απόλλωνας","",""
"38","","","","C","","00:00:55:22","00:00:57:01","00:00:01:03","00:00:55:22","00:00:57:01","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
