"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:01","00:00:02:01","00:00:02:00","00:00:00:01","00:00:02:01","","","","","","","0.000","","Blue","Απόλλωνας","",""
"2","","","","C","","00:00:03:09","00:00:07:03","00:00:03:18","00:00:03:09","00:00:07:03","","","","","","","0.000","","Blue","Απόλλωνας","",""
"3","","","","C","","00:00:07:11","00:00:08:05","00:00:00:18","00:00:07:11","00:00:08:05","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"4","","","","C","","00:00:08:15","00:00:11:11","00:00:02:20","00:00:08:15","00:00:11:11","","","","","","","0.000","","Blue","Απόλλωνας","",""
"5","","","","C","","00:00:11:17","00:00:12:22","00:00:01:05","00:00:11:17","00:00:12:22","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"6","","","","C","","00:00:12:11","00:00:12:14","00:00:00:03","00:00:12:11","00:00:12:14","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"7","","","","C","","00:00:13:07","00:00:14:10","00:00:01:03","00:00:13:07","00:00:14:10","","","","","","","0.000","","Blue","Απόλλωνας","",""
"8","","","","C","","00:00:14:12","00:00:14:22","00:00:00:10","00:00:14:12","00:00:14:22","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"9","","","","C","","00:00:15:04","00:00:17:04","00:00:02:00","00:00:15:04","00:00:17:04","","","","","","","0.000","","Blue","Απόλλωνας","",""
"10","","","","C","","00:00:17:18","00:00:20:16","00:00:02:22","00:00:17:18","00:00:20:16","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"11","","","","C","","00:00:21:11","00:00:23:19","00:00:02:08","00:00:21:11","00:00:23:19","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"12","","","","C","","00:00:26:13","00:00:26:15","00:00:00:02","00:00:26:13","00:00:26:15","","","","","","","0.000","","Blue","Λαπίθες","",""
"13","","","","C","","00:00:26:16","00:00:26:21","00:00:00:05","00:00:26:16","00:00:26:21","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"14","","","","C","","00:00:27:23","00:00:29:07","00:00:01:08","00:00:27:23","00:00:29:07","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"15","","","","C","","00:00:31:12","00:00:33:00","00:00:01:12","00:00:31:12","00:00:33:00","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"16","","","","C","","00:00:34:20","00:00:36:00","00:00:01:04","00:00:34:20","00:00:36:00","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"17","","","","C","","00:00:36:07","00:00:37:18","00:00:01:11","00:00:36:07","00:00:37:18","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"18","","","","C","","00:00:37:22","00:00:38:15","00:00:00:17","00:00:37:22","00:00:38:15","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"19","","","","C","","00:00:38:18","00:00:39:07","00:00:00:13","00:00:38:18","00:00:39:07","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"20","","","","C","","00:00:40:21","00:00:41:20","00:00:00:23","00:00:40:21","00:00:41:20","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"21","","","","C","","00:00:42:03","00:00:42:06","00:00:00:03","00:00:42:03","00:00:42:06","","","","","","","0.000","","Blue","Λαπίθες","",""
